station name,station code
Bangaon Jn,BNJ
Bangarapet,BWT
Bangarapet,BWY
Bangari,BGAR
Bangarmau,BGMU
Bangi Nihal Singh,BNLS
Bangriposi,BGY
Bangrod,BOD
Bangurgram,BNGM
Bangurkela,BGKA
Bani,BANI
Bani,VAI
Baniapur H,BNPA
Banihal,BAHL
Banikpur Halt,BNPR
Baniya Sanda Dhora,BSDA
Banka,BAKA
Banka Ghat,BKG
Banka Road Oa,BNKR
Bankapasi F,BCF
Bankat H,BNKT
Bankata,BTK
Bankeganj,BNKJ
Bankhedi,BKH
Bankimnagar H,BNKA
Bankra Nayabaz,BKNM
Bankura,BQA
Bankura,BQK
Banmankhi Jn,BNKI
Banmore,BAO
Banni Koppa,BNA
Banni Mahammanpatti Halt,BMPT
Bannihatti,BNHT
Bano,BANO
Banosa,BASA
Banpas,BPS
Banpimpla,BNPP
Banpur,BPN
Bansadhara Ph,BSDR
Bansapahar,BNSP
Bansdih Road,BCD
Bansh Baria,BSAE
Banshlai Bridge,BSBR
Bansi Bohera,BYE
Bansi Paharpur,BIQ
Bansinala H,BNSL
Bansipur,BSQP
Bansjora,BZS
Banskho,BSKO
Banspani,BSPX
Bansthali Niwai,BNLW
Banstola Ph,BNB
Banta Raghunathgarh,BGG
Bantanahal,BLL
Bantawala,BNTL
Banthra,BTRA
Bantva,BATA
Banwali,BWC
Baori Thikria,BOTI
Bap,BAF
Bapatla,BPP
Bapudham Motihari,MKI
Bapudm Motihari,BMKI
Bar,BAR
Bar Longfer,BRLF
Bara,BBAR
Bara Gopal,BAGL
Bara Gudha,BGD
Bara Hapjan,BPJ
Bara Jamada,BJMD
Barabambo,BRM
Barabani,BBI
Barabanki Jn,BBK
Barabar H,BBHT
Barabhati,BFF
Barabhum,BBM
Barabil,BBN
Barachak Jn.,BCQ
Baradev,BRDV
Baradighi,BDS
Baradiya,BRDA
Baradwar,BUA
Baragaon,BNM
Barah Muafi,BQF
Barahat,BHLE
Barahibari,BRBY
Barahu,BRHU
Barai Jalalpur,BJLP
Baraigram Jn,BRGM
Baraipura H,BAPN
Barakalan,BQW
Barakar,BRR
Baral,BARL
Barala,BAA
Baramati,BRMT
Baramulla,BRML
Baran,BAZ
Baranagar Road,BARN
Barang,BRAG
Barapalasi,BRPS
Barara,RAA
Barara Buzurg,BRRZ
Barari Bazar,PRZR
Barasat Jn,BT
Barauni F,BUJ
Barauni Jn,BJU
Baraut,BTU
Baraw More,BMHT
Barayala Chaurasi,BRLA
Barbatpur,BBTR
Barbenda,BBDA
Barbera,BRBR
Barchhi Road,BCRD
Barda,BRDB
Barddhaman,BWN
Barddhaman N G,BXW
Bardhana,BRDH
Bardi,BDHT
Bardoli,BIY
Bareilly,BE
Bareilly,BRY
Bareilly Cantt,BRYC
Bareilly City,BC
Barejadi Nandej,BJD
Barelipar,BQM
Bareta,BRZ
Bareth,BET
Bargachia,BAC
Bargachia,BAG
Bargalia,BGLI
Bargaon Gujar,BRGJ
Bargarh,BRG
Bargarh Road,BRGA
Bargawan,BRGW
Bargi,BUQ
Barh,BARH
Barh Court Halt,BCHT
Barhaj Bazar,BHJ
Barhan Jn,BRN
Barhapur H,BHAD
Barhara,BHHT
Barhara Kothi F,BAKT
Barharaganj,BAGJ
Barharwa Jn,BHW
Barhi,BRHI
Barhiya,BRYA
Barhni,BNY
Barhragram Halt,BRHM
Bari,BARI
Bari Brahman,BBMN
Bari Khatu,BKTU
Bari Sadri,BI
Bariarpur,BUP
Baripada Ph,BPO
Baripur Mandala,BRPM
Baripura,BPRA
Barithengarh Ph,BRTG
Bariwala,BRW
Barka H,BADK
Barka Kana,BRKA
Barkagaon Halt,BGHT
Barkakhana Avoiding,BKAC
Barkhera,BKA
Barkichanpi,BICI
Barkipona,BRKP
Barkisalaiya,BSYA
Barkur,BKJ
Barlai,BLAX
Barlanga,BLNG
Barmasia,BRMA
Barmer,BME
Barnagar,BNG
Barnala,BNN
Barog,BOF
Barpali,BRPL
Barpathar,BXP
Barpeta Road,BPRD
Barra Bazar,BZB
Barrackpore,BP
Barrajpur,BJR
Barsali,BYS
Barsana,BARS
Barsathi,BSY
Barsi Takli,BSQ
Barsi Town,BTW
Barsoi Jn,BOE
Barsola,BZO
Barsuan,BXF
Bartara Halt,BRTA
Barua Bamungaon,BBGN
Barua Chak,BRCK
Barua Nagar,BRNR
Barud,BRUD
Barui Para,BRPA
Baruipur Jn,BRP
Baruna,BUE
Barundani,BNDI
Baruva,BAV
Barwa Kalan H,BRSA
Barwa Sagar,BWR
Barwadih Jn,BRWD
Barwaha,BWW
Barwala,BXC
Barwala Road,BRL
Barwasni Halt,BRNI
Barya Ram,BYHA
Baryal Himachal,BRHL
Basai,BZY
Basai Dhankot,BDXT
Basampalle,BSPL
Basantapur,BSTP
Basantpur Halt,BNPH
Basar,BSX
Basarhia Halt,BSRA
Basari,BSRI
Basavana Bagevadi Road,BSRX
Basbari,BSI
Baseri,BED
Baseria,BZE
Basharatganj,BTG
Basi Kiratpur,BSKR
Basin Bridge Jn,BBQ
Basirhat,BSHT
Baskatwa B H,BSCP
Basmat,BMF
Basni,BANE
Bassi,BAI
Bassi Berisal,BSSL
Bassi Pathanan,BSPN
Basta,BTS
Basti,BST
Bastoi H,BTRO
Basuchak Halt,BSCK
Basuchak Halt,BQSP
Basudebpur H,BDBP
Basudeopur Chandail H,BDUA
Basugaon,BSGN
Basukinath,BSKH
Basuldanga,BSD
Basulya Sutahata,BYSA
Baswa,BU
Batadrowa Road,BTDR
Batala Jn,BAT
Batala Sugar Mills,BATM
Batasi,BTSI
Bataspur,BSLE
Batesar,BASR
Bathna Krittibas H,BTKB
Bathnaha,BTF
Bathua Bazar Halt,BHBR
Battulapuram H,BTM
Batuva Ph,BTVA
Baudpur,BUDR
Bauria Jn,BVA
Bavla,VLA
Bawal,BWL
Bawani Khera,BWK
Bawli H,BAOL
Bayad,BAYD
Bayaluvaddigeri,BYO
Bayana Jn,BXN
Baytu,BUT
Bayyavaram,BVM
Bazarsau,BZLE
Bazida Jatan,BZJT
Bazpur,BPZ
Bazurghat,BZGT
Beas,BEAS
Beawar,BER
Bebejia,BEE
Bechhiwara,BHWA
Bechraji,BHRJ
Bedag,BDK
Bedetti,BVV
Bedham,BEDM
Begampet,BMT
Begampur,BPAE
Begdaewai,BGW
Begdewadi,BGWI
Begu Sarai,BGS
Begun Kudar,BKDR
Begunia,BYZA
Behaj,BEHJ
Behta Hazipur,BHHZ
Behtagokal,BEG
Behula,BHLA
Bejnal,BJN
Bekal Fort,BFR
Bela,BELA
Bela Bhela,BBHL
Bela Halt,BELT
Bela Tal,BTX
Belagavi,BGM
Belagula,BLGA
Belakoba,BLK
Belampalli,BPA
Belanagar,BZL
Belandur Road,BLRR
Belanki,BLNK
Howrah,HWH
